Name,EloRating,match_number
Thomas Fabbiano,1643,80
Rodrigo Guidolin,1643,98
Nathan Thompson,1643,87
Rabie Chaki,1643,86
Bohdan Ulihrach,1643,26
Michael Ryderstedt,1642,71
Piero Luisi,1642,70
Milos Raonic,1642,68
Leonardo Tavares,1641,89
Marius Copil,1641,79
Alexander Sadecky,1641,104
Igor Sijsling,1641,73
Marco Mirnegg,1640,56
Bartolome Salva Vidal,1640,25
Ryan Harrison,1640,55
Nikola Ciric,1640,93
Inigo Cervantes Huegun,1640,134
Xavier Pujo,1640,32
Robin Roshardt,1639,57
Matteo Viola,1639,131
Guillermo Rivera Aranguiz,1639,65
Marc Fornell Mestres,1639,108
David Goffin,1639,93
Jeroen Masson,1639,72
Mathieu Rodrigues,1638,145
Jose Rubin Statham,1638,130
Dick Norman,1638,55
Greg Jones,1637,127
Martin Verkerk,1637,35
Kornel Bardoczky,1637,88
Frederic Jeanclaude,1637,94
Massimo Dellacqua,1637,73
Nick Lindahl,1637,102
Adrians Zguns,1637,54
Petru Alexandru Luncanu,1636,110
Cristian Villagran,1636,68
Jonathan Gonzalia,1636,86
Morgan Phillips,1635,65
David Savic,1635,135
Josh Goodall,1635,69
Jan Minar,1634,100
Gorka Fraile,1634,27
Daniele Bracciali,1634,64
Santiago Gonzalez,1633,107
Jaak Poldma,1633,17
Alberto Brizzi,1633,96
Thiago Alves,1633,130
Boris Pashanski,1633,112
Dusan Vemic,1632,72
Maxime Authom,1632,77
Hiroki Kondo,1632,88
Giancarlo Petrazzuolo,1632,101
Benoit Paire,1632,117
Robert Smeets,1631,108
Wesley Moodie,1631,14
Ricardas Berankis,1631,84
Agustin Picco,1630,104
Mariano Zabaleta,1630,47
Scoville Jenkins,1630,109
Jose Antonio Sanchez De Luna,1630,92
Federico Luzzi,1630,14
Ryler Deheart,1629,100
Rafael Arevalo,1629,57
Mislav Hizak,1629,60
Brendan Evans,1628,133
Giovanni Lapentti,1628,106
Walter Trusendi,1628,95
Marc Lopez,1628,76
Dylan Seong Kwan Kim,1628,35
Romain Jouan,1627,83
Raven Klaasen,1627,79
Greg Ouellette,1627,83
Lukas Dlouhy,1627,73
Gyorgy Balazs,1627,77
Deniss Pavlovs,1626,119
Gouichi Motomura,1626,62
Diego Veronelli,1626,38
Filip Krajinovic,1626,67
Hans Podlipnik Castillo,1626,94
Dennis Bloemke,1626,58
Pierre Metenier,1625,139
Aleksander Slovic,1625,91
Stian Boretti,1625,23
Alexandros Jakupovic,1625,130
Cecil Mamiit,1624,62
Thomas Oger,1624,97
Rohan Bopanna,1624,59
Daniel Garza,1624,83
Juan Manuel Valverde,1624,130
Ivo Klec,1623,103
Nathan Healey,1623,29
Junn Mitsuhashi,1623,106
Vasilis Mazarakis,1623,23
Martin Pedersen,1623,60
Satoshi Iwabuchi,1623,51
Murad Inoyatov,1623,85
Claudio Grassi,1622,144
Ilya Belyaev,1622,107
Bruno Rodriguez,1622,96
Franco Skugor,1622,60
Mariano Puerta,1622,76
Andrei Gorban,1622,81
Matwe Middelkoop,1622,107
Artem Smirnov,1621,91
Marcelo Arevalo,1621,60
Hiroki Moriya,1621,68
Laurent Rochette,1621,87
Alex Kuznetsov,1620,99
Konstantin Kravchuk,1620,92
Adam El Mihdawy,1620,92
Diego Junqueira,1619,137
Luka Gregorc,1619,88
Federico Delbonis,1618,87
Cristobal Saavedra Corvalan,1618,88
Ivan Endara,1618,100
Alexander Domijan,1617,53
Tim Smyczek,1616,82
Samuel Groth,1616,100
Oliver Marach,1616,52
Yong Kyu Lim,1616,68
Carlos Avellan,1615,106
Philip Bester,1615,66
Gianluca Naso,1615,85
Eric Gomes,1615,103
Nicolas Todero,1614,66
Julio Cesar Campozano,1614,93
Jiri Skoloudik,1614,110
David Marrero,1614,124
Bassam Beidas,1614,19
Gregoire Burquier,1614,116
Riccardo Ghedin,1614,116
Predrag Rusevski,1613,51
Julien Jeanpierre,1613,79
Bruno Echagaray,1613,72
Ivaylo Traykov,1613,59
Nick Van Der Meer,1613,55
Chu Huan Yi,1612,61
Andrej Martin,1612,122
Sergio Roitman,1612,113
Flavio Saretta,1612,26
Giulio Di Meo,1612,46
Stephen Bass,1612,77
Victor Romero,1612,63
Aisam Ul Haq Qureshi,1611,66
Denys Molchanov,1611,106
Yuichi Ito,1611,113
Peter Wessels,1610,23
Leonardo Azzaro,1610,65
Andres Molteni,1610,119
Blazej Koniusz,1610,53
Jurgen Zopp,1610,103
Mauricio Echazu,1610,109
Andrew Coelho,1610,88
Cesar Ramirez,1609,70
Pedro Sousa,1608,65
Yohny Romero,1608,67
Dawid Olejniczak,1608,75
Agustin Boje Ordonez,1608,120
Jhonson Garcia,1608,10
Stefan Wauters,1608,40
Yannick Vandenbulcke,1607,70
Jaroslav Pospisil,1606,105
Kaden Hensel,1606,66
Andis Juska,1606,98
Max Mirnyi,1606,27
Prakash Amritraj,1605,110
Andrew Anderson,1605,28
Blake Strode,1605,37
Jhonnatan Medina Alvarez,1605,25
Nils Langer,1604,79
Miguel Angel Lopez Jaen,1604,141
Jan Lennard Struff,1604,32
Valentin Sanon,1604,65
Farrukh Dustov,1604,57
Zack Fleishman,1604,20
David Diaz Ventura,1604,71
Andre Ghem,1603,56
Mounir El Aarej,1603,47
Andoni Vivanco Guzman,1603,122
Matt Bocko,1603,65
