Name,elo_overall,match_number,elo_hard,match_number_hard,elo_clay,match_number_clay,elo_grass,match_number_grass,previous_match
Nicolas Jarry,1845.6625535532087,529,1820.1204727546656,118,1929.83408467078,395,1699.060685974164,16,2022-Bastad-Jaume Munar-Nicolas Jarry
Lleyton Hewitt,1845.5107548597016,262,1964.6345073159628,96,1813.7359372470623,26,1939.0504905085375,55,2016-Australian Open-David Ferrer-Lleyton Hewitt
Jan Lennard Struff,1845.449442638022,856,1936.5047758642545,373,2022.8340352989887,388,1695.0889012053344,63,2022-Braunschweig CH-Jan Lennard Struff-Maximilian Marterer
Juan Monaco,1843.8022293175586,453,1917.2857181082816,127,2030.9619893565448,192,1760.053805039049,16,2017-Houston-Dustin Brown-Juan Monaco
Thiago Monteiro,1842.2099945711516,691,1840.500106419601,143,1955.5654574773232,525,1593.599867449889,20,2022-Salzburg CH-Thiago Monteiro-Norbert Gombos
Kevin Anderson,1840.0137733334805,787,1943.7514954022508,453,1999.4706798348218,114,1906.1628526945374,76,2022-Miami Masters-Juan Manuel Cerundolo-Kevin Anderson
Marat Safin,1840.0,89,1840.0,0,1840.0,0,1840.0,0,
James Blake,1839.9907427134017,274,1953.3557730730688,128,1769.2017522703395,18,1742.0043954996893,11,2013-US Open-Ivo Karlovic-James Blake
Marcos Giron,1839.86180231737,492,1952.148332705013,413,1823.6996152622164,52,1714.9368620951902,27,2022-Wimbledon-Alex Molcan-Marcos Giron
Pedro Martinez Portero,1839.3564012763543,560,1909.0879808572402,114,1941.2701099768594,435,1533.2013785400168,11,2022-Braunschweig CH-Zhizhen Zhang-Pedro Martinez Portero
Ricardas Berankis,1839.3347852457623,787,1931.993938828434,559,1856.7710391645967,84,1812.834840077235,60,2022-Wimbledon-Rafael Nadal-Ricardas Berankis
Tommy Haas,1839.1297551122486,303,1915.192653347355,122,1936.4294499136954,69,1805.186322302226,28,2017-Kitzbuhel-Jan Lennard Struff-Tommy Haas
Juan Ignacio Chela,1838.6251414259198,235,1898.5849654814756,43,1929.704773464384,92,1675.4479369032144,4,2012-Wimbledon-Martin Klizan-Juan Ignacio Chela
Michael Llodra,1838.264261072939,297,1909.1660829365458,138,1885.412033826167,41,1915.7804573617666,26,2014-Mouilleron-Le-Captif CH-Tobias Kamke-Michael Llodra
Mikael Ymer,1837.5442181869403,390,1946.5526208136007,205,1877.2110396847524,165,1693.5014356001045,20,2022-Salzburg CH-Corentin Moutet-Mikael Ymer
Soon Woo Kwon,1837.4784337252852,367,1953.6572166549768,306,1872.0671581913987,34,1698.09504260696,27,2022-Wimbledon-Novak Djokovic-Soon Woo Kwon
Nikolay Davydenko,1836.774222070811,366,1950.7590320386146,153,1827.5498103347063,51,1816.3722511346843,8,2014-Roland Garros-Robin Haase-Nikolay Davydenko
Kamil Majchrzak,1836.3397751106968,535,1911.2637604433955,182,1946.4608751080443,313,1727.8148297589223,40,2022-Wimbledon-Thanasi Kokkinakis-Kamil Majchrzak
Roberto Carballes Baena,1836.0964730547598,820,1822.8469544280526,96,1952.2324079766609,697,1598.099817141243,27,2022-Amersfoort CH-Tallon Griekspoor-Roberto Carballes Baena
Chun Hsin Tseng,1835.2996208784893,300,1751.3166325723764,166,1946.5751697319445,129,1332.2116500105808,5,2022-Wimbledon-Alastair Gray-Chun Hsin Tseng
Jiri Vesely,1834.360311905958,761,1931.5728343822618,341,1871.9846690134648,352,1814.160647228495,66,2022-Newport-Steve Johnson-Jiri Vesely
Jared Donaldson,1834.210165008876,334,1908.7709633030202,248,1889.6487183638371,65,1648.3983073744648,21,2019-Miami Masters-Andrey Rublev-Jared Donaldson
Mardy Fish,1834.0189854004195,268,1979.1973531890335,130,1919.619631429098,22,2061.733146347899,22,2015-US Open-Feliciano Lopez-Mardy Fish
Roman Safiullin,1833.1510350702058,493,1903.9727916829752,359,1832.121430957345,130,1544.4124532896176,4,2022-Stuttgart-Jurij Rodionov-Roman Safiullin
Lloyd Harris,1832.3626348031794,475,1973.2714540570437,387,1888.102337326035,70,1712.108757976603,18,2022-Roland Garros-Richard Gasquet-Lloyd Harris
Albert Ramos,1830.5400626158153,989,1864.7762410335465,220,1994.8187588446322,600,1543.9370105117086,24,2022-Bastad-Pablo Carreno Busta-Albert Ramos
Jiri Lehecka,1830.0254747530437,232,1919.9525675139482,92,1915.2723743395075,125,1501.1403322974509,15,2022-Iasi CH-Luciano Darderi-Jiri Lehecka
Yoshihito Nishioka,1828.974689483011,616,1939.2396814153137,415,1863.8266381085502,163,1676.1792332384978,38,2022-Rome CH-Yasutaka Uchiyama-Yoshihito Nishioka
Adrian Mannarino,1828.459135255027,903,1971.0147636074887,534,1754.0279096444278,103,1822.3831085033737,122,2022-Newport-Max Purcell-Adrian Mannarino
